04/05|Segunda|Noite|Colégio Monteiro Lobato|18h00|Quadra 2|8º ano Ensino Fundamental II|Voleibol|Fem|VERMELHO X P-
04/05|Segunda|Noite|Colégio Monteiro Lobato|18h30|Quadra Grande|1º ano Ensino Médio|Futsal|Masc|ROXO X V-
04/05|Segunda|Noite|Colégio Monteiro Lobato|18h30|Quadra 1|6º ano Ensino Fundamental II|Voleibol|Masc|VERDE X V-
04/05|Segunda|Noite|Colégio Monteiro Lobato|18h30|Quadra 2|8º ano Ensino Fundamental II|Voleibol|Fem|VERMELHO X V-
04/05|Segunda|Noite|Colégio Monteiro Lobato|19h00|Quadra Grande|2º ano Ensino Médio|Futsal|Masc|VERMELHO X ROXO
04/05|Segunda|Noite|Colégio Monteiro Lobato|19h00|Quadra 1|3º ano Ensino Médio|Voleibol|Masc|ROXO X VERDE
04/05|Segunda|Noite|Colégio Monteiro Lobato|19h00|Quadra 2|9º ano Ensino Fundamental II|Voleibol|Masc|ROXO X VERDE
04/05|Segunda|Noite|Colégio Monteiro Lobato|19h30|Quadra Grande|2º ano Ensino Médio|Futsal|Masc|VERDE X P-
04/05|Segunda|Noite|Colégio Monteiro Lobato|19h30|Quadra 1|3º ano Ensino Médio|Voleibol|Masc|VERMELHO X P-
04/05|Segunda|Noite|Colégio Monteiro Lobato|19h30|Quadra 2|9º ano Ensino Fundamental II|Voleibol|Masc|VERMELHO X P-
04/05|Segunda|Noite|Colégio Monteiro Lobato|20h00|Quadra Grande|2º ano Ensino Médio|Futsal|Masc|VERDE X V-
04/05|Segunda|Noite|Colégio Monteiro Lobato|20h00|Quadra 1|3º ano Ensino Médio|Voleibol|Masc|VERMELHO X V-
04/05|Segunda|Noite|Colégio Monteiro Lobato|20h00|Quadra 2|9º ano Ensino Fundamental II|Voleibol|Masc|VERMELHO X V-
04/05|Segunda|Manhã|Monteiro Open|8h00|Quadra Grande|7º ano Ensino Fundamental II|Handebol|Fem|VERMELHO X VERDE
04/05|Segunda|Manhã|Monteiro Open|8h00|Quadra 1|1º ano Ensino Médio|Basquetebol|Fem|VERMELHO X ROXO
04/05|Segunda|Manhã|Monteiro Open|8h00|Quadra 2|6º ano Ensino Fundamental II|Dodgeball|Fem|ROXO X VERDE
04/05|Segunda|Manhã|Monteiro Open|8h40|Quadra Grande|7º ano Ensino Fundamental II|Handebol|Masc|VERMELHO X ROXO
04/05|Segunda|Manhã|Monteiro Open|8h40|Quadra 1|9º ano Ensino Fundamental II|Basquetebol|Masc|ROXO X VERDE
04/05|Segunda|Manhã|Monteiro Open|8h40|Quadra 2|9º ano Ensino Fundamental II|Basquetebol|Fem|VERMELHO X VERDE
04/05|Segunda|Manhã|Monteiro Open|9h20|Quadra Grande|7º ano Ensino Fundamental II|Handebol|Fem|ROXO X P-
04/05|Segunda|Manhã|Monteiro Open|9h20|Quadra 1|1º ano Ensino Médio|Basquetebol|Fem|VERDE X P-
04/05|Segunda|Manhã|Monteiro Open|9h20|Quadra 2|6º ano Ensino Fundamental II|Dodgeball|Fem|VERMELHO X P-
04/05|Segunda|Manhã|Monteiro Open|10h30|Quadra Grande|7º ano Ensino Fundamental II|Handebol|Masc|VERDE X P-
04/05|Segunda|Manhã|Monteiro Open|10h30|Quadra 1|9º ano Ensino Fundamental II|Basquetebol|Masc|VERMELHO X P-
04/05|Segunda|Manhã|Monteiro Open|10h30|Quadra 2|9º ano Ensino Fundamental II|Basquetebol|Fem|ROXO X P-
04/05|Segunda|Manhã|Monteiro Open|11h10|Quadra Grande|7º ano Ensino Fundamental II|Handebol|Fem|ROXO X V-
04/05|Segunda|Manhã|Monteiro Open|11h10|Quadra 1|1º ano Ensino Médio|Basquetebol|Fem|VERDE X V-
04/05|Segunda|Manhã|Monteiro Open|11h10|Quadra 2|6º ano Ensino Fundamental II|Dodgeball|Fem|VERMELHO X V-
